,x
95,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75], [10, 11, 7, 12, 76, 2, 6, 1, 26], [33, 77, 78, 79, 80, 81]]"
96,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18]]"
97,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59]]"
98,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44]]"
99,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26]]"
100,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69]]"
101,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47]]"
102,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75]]"
103,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18]]"
104,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59]]"
105,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44]]"
106,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26]]"
107,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69]]"
108,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47]]"
109,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75]]"
110,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75], [10, 11, 7, 12, 76, 2, 6, 1, 26]]"
111,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18]]"
112,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59]]"
113,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44]]"
114,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26]]"
115,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69]]"
116,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47]]"
117,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75]]"
118,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75], [10, 11, 7, 12, 76, 2, 6, 1, 26]]"
119,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75], [10, 11, 7, 12, 76, 2, 6, 1, 26], [33, 77, 78, 79, 80, 81]]"
120,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75], [10, 11, 7, 12, 76, 2, 6, 1, 26], [33, 77, 78, 79, 80, 81], [8, 48, 82, 7, 10, 11, 12]]"
121,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75], [10, 11, 7, 12, 76, 2, 6, 1, 26], [33, 77, 78, 79, 80, 81], [8, 48, 82, 7, 10, 11, 12], [20, 5, 2, 6, 17, 83, 49, 34, 18]]"
122,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75], [10, 11, 7, 12, 76, 2, 6, 1, 26], [33, 77, 78, 79, 80, 81], [8, 48, 82, 7, 10, 11, 12], [20, 5, 2, 6, 17, 83, 49, 34, 18], [3, 16, 25, 1, 15, 50, 84]]"
123,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75], [10, 11, 7, 12, 76, 2, 6, 1, 26], [33, 77, 78, 79, 80, 81], [8, 48, 82, 7, 10, 11, 12], [20, 5, 2, 6, 17, 83, 49, 34, 18], [3, 16, 25, 1, 15, 50, 84], [85, 5, 2, 6, 1, 86, 15, 87]]"
124,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18]]"
125,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59]]"
126,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44]]"
127,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26]]"
128,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69]]"
129,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47]]"
130,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75]]"
131,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75], [10, 11, 7, 12, 76, 2, 6, 1, 26]]"
132,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18]]"
133,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59]]"
134,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44]]"
135,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26]]"
136,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69]]"
137,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47]]"
138,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75]]"
139,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18]]"
140,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59]]"
141,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44]]"
142,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26]]"
143,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69]]"
144,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47]]"
145,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75]]"
146,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75], [10, 11, 7, 12, 76, 2, 6, 1, 26]]"
147,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75], [10, 11, 7, 12, 76, 2, 6, 1, 26], [33, 77, 78, 79, 80, 81]]"
148,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75], [10, 11, 7, 12, 76, 2, 6, 1, 26], [33, 77, 78, 79, 80, 81], [8, 48, 82, 7, 10, 11, 12]]"
149,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18]]"
150,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59]]"
151,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44]]"
152,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26]]"
153,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69]]"
154,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47]]"
155,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75]]"
156,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75], [10, 11, 7, 12, 76, 2, 6, 1, 26]]"
157,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18]]"
158,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59]]"
159,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44]]"
160,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26]]"
161,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69]]"
162,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47]]"
163,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75]]"
164,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75], [10, 11, 7, 12, 76, 2, 6, 1, 26]]"
165,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75], [10, 11, 7, 12, 76, 2, 6, 1, 26], [33, 77, 78, 79, 80, 81]]"
166,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18]]"
167,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59]]"
168,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44]]"
169,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26]]"
170,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69]]"
171,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47]]"
172,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75]]"
173,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75], [10, 11, 7, 12, 76, 2, 6, 1, 26]]"
174,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75], [10, 11, 7, 12, 76, 2, 6, 1, 26], [33, 77, 78, 79, 80, 81]]"
175,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18]]"
176,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59]]"
177,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44]]"
178,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26]]"
179,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69]]"
180,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47]]"
181,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75]]"
182,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75], [10, 11, 7, 12, 76, 2, 6, 1, 26]]"
183,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47], [3, 27, 4, 19, 73, 74, 2, 6, 1, 75], [10, 11, 7, 12, 76, 2, 6, 1, 26], [33, 77, 78, 79, 80, 81]]"
184,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18]]"
185,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59]]"
186,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44]]"
187,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26]]"
188,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69]]"
189,"[[5, 2, 6, 17, 1, 57, 41, 42, 25, 14, 18], [3, 9, 8, 43, 58, 2, 6, 1, 26, 59], [4, 60, 61, 62, 2, 6, 1, 15, 44], [45, 4, 46, 63, 64, 6, 1, 26], [8, 3, 65, 66, 67, 68, 69], [33, 70, 27, 1, 15, 71, 72, 6, 26, 47]]"
